Date,Content,From
"Wed, Mar 5, 2008 at 4:06 PM",You are beautiful rose ,Parent
"Tue, Mar 11, 2008 at 11:30 AM","How is everything going in your school? Do you enjoy in playing with others or learn new knowledge. What do you like most? Hope you enoy new backyard. If you need a new swing set, please tell daddy. Have a nice day. ",Parent
"Wednesday, March 5, 2008 7:23:24 PM","dear  mom  and  dad,
I   apreshaet  you  being  my  perents   I   hope  you  angoae   being  my   perents
too?  ",Kid
"Wed, Mar 5, 2008 at 4:28 PM",Thank you very much for the email. I am very happy to hear that. I enjoy being your mommy and you are always lovely most of time. I love you very much. ,Parent
"Thu, Mar 6, 2008 at 3:45 PM","Thank you for your message. I really enjoy to be your daddy. I will continue to enjoy being your daddy. You will be always my daughter, my little sweetheart. ",Parent
"Wed, Aug 13, 2008 at 6:23 PM","How are you doing? Did you work hard to remember the time rules: 1X1 =1, 1X2=2, 1X3 =3; ..........
2X1=2; 2X2 =4, 2X3=6, .........I bet you can remember it in one week. You are a smart girl and you definitely can achieve your goal if you make determination and spend time on it. Of course, you are also as beautiful as your smart. I wish that you can be successful. But above all, keepinbg healthy and good mood are the most important things. Be nice to people, especially to mom, dad, your teacher and classmates. Be honest. Work hard to get what you want. Have a nice day.",Parent
14-Aug-08,You are a silly daddy. I hope you have a great day and don't forget put a sticker on your email.,Kid
"Wed, Aug 13, 2008 at 6:23 PM","As I told you before, being honest and working hard is the key for success.",Parent
"Wed, Aug 13, 2008 at 6:31 PM","How is school going today? Hope you have good time and have fun with friends. Sometime I may be a little bit strict to you, but it is for good purpose. I never ever want to be mean to you, as I told you before, we always love you. Hope you have good sleep tonight.  For some reason, I can not find the rose and other sticker. You need to teach me again how to do it tomorrow.",Parent
"Monday, September 15, 2008 6:18:42 PM","I wrote you moon facts and I will write you a moon story after finish work such as piano, Chinese. ",Kid
"Tuesday, September 16, 2008, 7:01 PM"," Thank you very much for writing me the moon facts. The writing is well done, and I am so proud of you. Although I can not join you to see the beautiful moon last night, I am always with you, just as I always love you. By the way, the background of your writing paper is so pretty, how do you do it? Please tell me when I get back.",Parent
"Tuesday, September 16, 2008 7:57:38 PM",I love you too. I have lots of thing to do. See you on weekend.,Kid
"Wednesday, September 17, 2008, 7:52 PM","Thanks for the email. I love your fancy writing paper. I know you are very busy everyday. Hope you are doing great in school, and also at home. I can not wait to see you on weekend. Don't forget to pick me up at airport around 8:00 pm Saturday night with daddy. See you on Saturday.",Parent
"Wednesday, September 17, 2008 6:36:54 PM",please hurry home!I miss you . I read your message and I can' t wait to see you.,Kid
"Thursday, September 18, 2008, 6:59 PM","Today I got two presents for you. They both look very pretty, since I don't know which one is better, I bought both of them. I also got some Denmark chocolate, you can share with daddy when I get back. Look forwards to seeing you soon.",Parent
"Thursday, September 18, 2008 6:07:43 PM",I read your email.I know how to change the background click on the last square to the right. Then choose how you want it to look. There are lots of categorys to choose from. Just click one.,Kid
"Wed, Sep 17, 2008 at 12:52 PM","I am going be back today, can not wait to see you at airport. Love you!",Parent
"Tue, Nov 11, 2008 at 7:53 PM","Please take care of selves. If you have no time or energy to cook, just buy some to go. You can buy from the Golden Corral buffet store such as beef and vegetable to make sure of enough nutrition. Healthy is most important. I'm so shameful of myself not able to take care of you at such important moment.",Parent
"Sun, Mar 15, 2009 at 3:59 PM
","I called Amazon, who will deliver a package overnight again on Monday for free. You will receive it on Tuesday. If you receive the second one, do not open it.
I just want to be sure that Katie can receive it before BD. Amazon promised to be delivered on March 14.
Katie:
For webikin, I will buy you one if your review score is above 20 after this track (end of March). You can also suggest a place for short vacation.
Review (primary draft, connie will modify. Each category has 5 score, total 25)
1.strong initiative and working hard and make progress in school in academy
2. strong initiative and working hard in piano, chinese, and ballet
3.involve in sports and learn new sports; actively make new friends and show team spirit;
4. love and respect family members, help to do chores; communicate well with family.
5. actively learning new stuff at home in reading, math et al",Parent
"Mon, Jun 1, 2009 at 8:21 PM","Hope you are having a sweet dream now. I think you were probably mad at me tonight since I was not nice to you at all. But there are certain rules and policies in the life that everyone needs to obey, such as good manners. I know you are very good most of the time. However, sometimes you don't listen. You need to learn how to be a good listener. I have no doubt that you can talk very well, I hope you can listen very well too. As I told you many many times, I always love you no matter what. Both you and little brother Alex, you are both daddy and mommy's kids, we love you both equally. Since Alex is very little and requires the care most of the time, we may spend more time with him than with you. But it doesn't mean we love him more than we love you. We love you both the same.

Hope I am still your best friend no matter what. As I told you, I always want to be with you and Alex. When I am old and retired, I will buy a house close to where you live, so I can still see you every day or every week.

By the way, I will talk to Elene's dad this week to see if you can play with her soon.

Good night, my sweet.",Parent
"Tuesday, June 9, 2009, 3:01 AM","I'm glad that you have read my letter I wrote to you one week ago. I hope you understand what your mom and daddy are wishing. If you still do not know, please talk or write email to me or your mom. In a word, we want you to have a good habit now to be a nice kid.

I'm also very glad that you are loving reading. It is a great thing to read. In this way, you can not only learn a lot of new knowledge, but also experience life in another way. Sometime, you can not get those feeling in real life, but you still can get it from book. I believe you will understand it, even now not.

It is a kind of surprise to me that you do not like the book of ""Harry Potter"". You told me that the story will make you scary. Katie, the storyline of the book is based on IMAGINATION. Imagination is the seasoning for the life, especially for a kid. Dream will make you think big. Life is nothing without imagination or dreaming. There is nothing to scare you. Katie, no one will hurt you without reason, just like no one will love you without reason. So, you do not need to be afraid of anything in book, especially the one generated from imagination. Do you understand?

Being brave is one thing your mom and me wish that you can improve. You will be as I believe.",Parent
"Wednesday, June 10, 2009, 6:31 PM",I want the two books a A Dog's Gotta Do What A Dogs Gotta Do by Marilyn Singer and Diary Of A Wimpy Kid The Last Straw by Jeff Kinney.Before I forget try to get me classes to my dream job a fashion designer.Chow!,Kid
"Wednesday, June 10, 2009, 11:28 PM","It is great to read your email. I hope that you understand what I have said in the previous email. I will buy the books for you. One thing to be success such as being a fashion designer is to be persistent. It means that you always stick to it and never give up. Sometime I noticed that you are having a passion of 3 minutes, i.e. your focus to one thing is not long enough. Persistence is one critical factor to be successful, such as I persistently ask your mom to marry me. We will support you as always, including for you getting a dreaming job. I'm not sure what classes you need to take and I will talk with your mom. But before that, would you please do some homework for it, such as reading couple books for that, do some mimic design work at home, talking to your friend et al. This will tell yourself whether you are really interested it or not. Thanks and have a wonderful day. Keep writing to me.",Parent
